text,file,path
cái khái niệm nha bây giờ rong kinh tức là cái ngày mà bình thường mình có kinh,VietMed_002/6.0000_12.0000,wav_test_audio/VietMed_002/6.0000_12.0000.wav
là tự từ ba ngày đến năm ngày một số trường hợp thì có thể là nhiều,VietMed_002/12.0000_17.0000,wav_test_audio/VietMed_002/12.0000_17.0000.wav
lắm thì bảy ngày nhưng mà những cái ngày những ngày ngày từ ngày năm đến ngày bảy thì cái lượng máu mới ít hơn bây giờ rong kinh,VietMed_002/17.0000_24.0000,wav_test_audio/VietMed_002/17.0000_24.0000.wav
là cái cành chanh nó kéo dài trên bảy ngày,VietMed_002/24.0000_30.0000,wav_test_audio/VietMed_002/24.0000_30.0000.wav
đúng ngày kinh của mình nhưng mà ngày kinh kéo dài trên bảy ngày gọi là rong kinh còn rong huyết tức là cái hiện tượng ra,VietMed_002/30.0000_38.0000,wav_test_audio/VietMed_002/30.0000_38.0000.wav
máu âm đạo bất thường không có đúng ngày kinh nhưng mà kéo dài thì gọi là là,VietMed_002/38.0000_43.0000,wav_test_audio/VietMed_002/38.0000_43.0000.wav
rong huyết như vậy mình sẽ phân biệt với rong kinh và rong huyết,VietMed_002/43.0000_48.0000,wav_test_audio/VietMed_002/43.0000_48.0000.wav
bây giờ mình sẽ đi vào phần phần nguyên nhân thì rong kinh và rong,VietMed_002/57.0000_63.0000,wav_test_audio/VietMed_002/57.0000_63.0000.wav
huyết thì nó số các nguyên nhân có thể là nguyên nhân nhằm cơ năng hoặc là nguyên nhân thực thể cơ năng tức là,VietMed_002/63.0000_71.0000,wav_test_audio/VietMed_002/63.0000_71.0000.wav
tử cung phần phụ là hoàn toàn bình thường không có bệnh lý gì cả nhưng mà chỉ do do rối loạn về chức năng của,VietMed_002/71.0000_77.0000,wav_test_audio/VietMed_002/71.0000_77.0000.wav
buồng trứng buồng trứng nó tiết ra những hoocmon estrogen và progesterone nó có những cái rối loạn thì ảnh hưởng biểu,VietMed_002/77.0000_85.0000,wav_test_audio/VietMed_002/77.0000_85.0000.wav
hiện kinh nguyệt nó sẽ không vấn đề hoặc là nó không đều mà,VietMed_002/85.0000_91.0000,wav_test_audio/VietMed_002/85.0000_91.0000.wav
không có kinh hoặc là là ra máu âm đạo kéo dài và một số nguyên nhân thực thể tức là có những bệnh lý thực thực thực,VietMed_002/91.0000_98.0000,wav_test_audio/VietMed_002/91.0000_98.0000.wav
tế ở tử cung hoặc âm đạo hoặc là cổ của tử cung thì tí nữa mình sẽ sang cái phần thăm khám,VietMed_002/98.0000_105.0000,wav_test_audio/VietMed_002/98.0000_105.0000.wav
mình nói là về nguyên nhân thực thể thì mình hay gặp nhất đó là u xơ tử cung,VietMed_002/111.0000_117.0000,wav_test_audio/VietMed_002/111.0000_117.0000.wav
thì đừng là gây nên rong huyết còn nếu mà u xơ tử cung nó nằm ở những,VietMed_002/125.0000_133.0000,wav_test_audio/VietMed_002/125.0000_133.0000.wav
vị trí khác trong cơ tử cung hoặc dưới với thân mạc thì nó ít gây nên cho một,VietMed_002/133.0000_138.0000,wav_test_audio/VietMed_002/133.0000_138.0000.wav
biến chứng rong kinh rong huyết hơn,VietMed_002/138.0000_140.0000,wav_test_audio/VietMed_002/138.0000_140.0000.wav
những cái polyp nội mạc tử cung và những cái bệnh lý là tăng sản nội mạc,VietMed_002/151.0000_157.0000,wav_test_audio/VietMed_002/151.0000_157.0000.wav
tử cung là ung thư nội mạc tử cung nó thể một số những cái trường hợp như,VietMed_002/157.0000_163.0000,wav_test_audio/VietMed_002/157.0000_163.0000.wav
là bị chấn thương hoặc là dị vật đường sinh dục một số em bé một số người mới ở,VietMed_002/163.0000_170.0000,wav_test_audio/VietMed_002/163.0000_170.0000.wav
vùng nông thôn,VietMed_002/170.0000_177.0000,wav_test_audio/VietMed_002/170.0000_177.0000.wav
xuống mấy đồng ruộng thì có thể là có bị dị vật như là những con vật như con đỉa gì đó mà nó nó vào đường sinh dục,VietMed_002/177.0000_184.0000,wav_test_audio/VietMed_002/177.0000_184.0000.wav
bạn nó sẽ nằm ở chỗ âm đạo và nó sẽ gây chảy máu mau kéo dài thường xuyên,VietMed_002/184.0000_192.0000,wav_test_audio/VietMed_002/184.0000_192.0000.wav
không biết là nguyên nhân gì sau nay mình đặt bỏ việc nạp và do những,VietMed_002/192.0000_198.0000,wav_test_audio/VietMed_002/192.0000_198.0000.wav
